disease,year,week,cases
Human bocavirus,2020,11,7
Human bocavirus,2020,12,13
Human bocavirus,2020,13,9
Human bocavirus,2020,14,8
Human bocavirus,2020,15,8
Human bocavirus,2020,16,8
Human bocavirus,2020,17,7
Human bocavirus,2020,18,8
Human bocavirus,2020,19,9
Human bocavirus,2020,20,10
Human bocavirus,2020,21,9
Human bocavirus,2020,22,9
Human bocavirus,2020,23,14
Human bocavirus,2020,24,15
Human bocavirus,2020,25,15
Human bocavirus,2020,26,13
Human bocavirus,2020,27,16
Human bocavirus,2020,28,12
Human bocavirus,2020,29,14
Human bocavirus,2020,30,16
Human bocavirus,2020,31,5
Human bocavirus,2020,32,11
Human bocavirus,2020,33,16
Human bocavirus,2020,34,16
Human bocavirus,2020,35,11
Human bocavirus,2020,36,28
Human bocavirus,2020,37,31
Human bocavirus,2020,38,16
Human bocavirus,2020,39,20
Human bocavirus,2020,40,21
Human bocavirus,2020,41,16
Human bocavirus,2020,42,23
Human bocavirus,2020,43,31
Human bocavirus,2020,44,34
Human bocavirus,2020,45,37
Human bocavirus,2020,46,46
Human bocavirus,2020,47,47
Human bocavirus,2020,48,49
Human bocavirus,2020,49,79
Human bocavirus,2020,50,78
Human bocavirus,2020,51,56
Human bocavirus,2020,52,81
Human bocavirus,2021,1,61
Human bocavirus,2021,2,66
Human bocavirus,2021,3,56
Human bocavirus,2021,4,43
Human bocavirus,2021,5,53
Human bocavirus,2021,6,39
Human bocavirus,2021,7,24
Human bocavirus,2021,8,31
Human bocavirus,2021,9,29
Human bocavirus,2021,10,20
Human bocavirus,2021,11,31
Human bocavirus,2021,12,44
Human bocavirus,2021,13,31
Human bocavirus,2021,14,38
Human bocavirus,2021,15,77
Human bocavirus,2021,16,82
Human bocavirus,2021,17,83
Human bocavirus,2021,18,134
Human bocavirus,2021,19,135
Human bocavirus,2021,20,203
Human bocavirus,2021,21,150
Human bocavirus,2021,22,173
Human bocavirus,2021,23,166
Human bocavirus,2021,24,150
Human bocavirus,2021,25,124
Human bocavirus,2021,26,134
Human bocavirus,2021,27,80
Human bocavirus,2021,28,78
Human bocavirus,2021,29,71
Human bocavirus,2021,30,64
Human bocavirus,2021,31,45
Human bocavirus,2021,32,34
Human bocavirus,2021,33,20
Human bocavirus,2021,34,29
Human bocavirus,2021,35,23
Human bocavirus,2021,36,26
Human bocavirus,2021,37,25
Human bocavirus,2021,38,27
Human bocavirus,2021,39,17
Human bocavirus,2021,40,33
Human bocavirus,2021,41,39
Human bocavirus,2021,42,42
Human bocavirus,2021,43,55
Human bocavirus,2021,44,63
Human bocavirus,2021,45,43
Human bocavirus,2021,46,61
Human bocavirus,2021,47,35
Human bocavirus,2021,48,25
Human bocavirus,2021,49,19
Human bocavirus,2021,50,21
Human bocavirus,2021,51,31
Human bocavirus,2021,52,33
Human bocavirus,2022,1,18
Human bocavirus,2022,2,23
Human bocavirus,2022,3,19
Human bocavirus,2022,4,35
Human bocavirus,2022,5,30
Human bocavirus,2022,6,21
Human bocavirus,2022,7,18
Human bocavirus,2022,8,11
