disease,year,week,cases
hand-food-and mouth disease,2018,12,0
hand-food-and mouth disease,2018,13,1
hand-food-and mouth disease,2018,14,1
hand-food-and mouth disease,2018,15,0
hand-food-and mouth disease,2018,16,1
hand-food-and mouth disease,2018,17,1
hand-food-and mouth disease,2018,18,2
hand-food-and mouth disease,2018,19,3
hand-food-and mouth disease,2018,20,4
hand-food-and mouth disease,2018,21,5
hand-food-and mouth disease,2018,22,6
hand-food-and mouth disease,2018,23,8
hand-food-and mouth disease,2018,24,11
hand-food-and mouth disease,2018,25,13
hand-food-and mouth disease,2018,26,16
hand-food-and mouth disease,2018,27,26
hand-food-and mouth disease,2018,28,29
hand-food-and mouth disease,2018,29,32
hand-food-and mouth disease,2018,30,28
hand-food-and mouth disease,2018,31,25
hand-food-and mouth disease,2018,32,18
hand-food-and mouth disease,2018,33,17
hand-food-and mouth disease,2018,34,16
hand-food-and mouth disease,2018,35,12
hand-food-and mouth disease,2018,36,10
hand-food-and mouth disease,2018,37,8
hand-food-and mouth disease,2018,38,7
hand-food-and mouth disease,2018,39,6
hand-food-and mouth disease,2018,40,4
hand-food-and mouth disease,2018,41,4
hand-food-and mouth disease,2018,42,3
hand-food-and mouth disease,2018,43,3
hand-food-and mouth disease,2018,44,2
hand-food-and mouth disease,2018,45,3
hand-food-and mouth disease,2018,46,3
hand-food-and mouth disease,2018,47,3
hand-food-and mouth disease,2018,48,2
hand-food-and mouth disease,2018,49,2
hand-food-and mouth disease,2018,50,2
hand-food-and mouth disease,2018,51,2
hand-food-and mouth disease,2018,52,1
hand-food-and mouth disease,2019,1,2
hand-food-and mouth disease,2019,2,2
hand-food-and mouth disease,2019,3,1
hand-food-and mouth disease,2019,4,1
hand-food-and mouth disease,2019,5,1
hand-food-and mouth disease,2019,6,1
hand-food-and mouth disease,2019,7,1
hand-food-and mouth disease,2019,8,1
hand-food-and mouth disease,2019,9,1
hand-food-and mouth disease,2019,10,1
hand-food-and mouth disease,2019,11,1
hand-food-and mouth disease,2019,12,2
hand-food-and mouth disease,2019,13,2
hand-food-and mouth disease,2019,14,2
hand-food-and mouth disease,2019,15,2
hand-food-and mouth disease,2019,16,3
hand-food-and mouth disease,2019,17,5
hand-food-and mouth disease,2019,18,6
hand-food-and mouth disease,2019,19,6
hand-food-and mouth disease,2019,20,10
hand-food-and mouth disease,2019,21,16
hand-food-and mouth disease,2019,22,18
hand-food-and mouth disease,2019,23,23
hand-food-and mouth disease,2019,24,29
hand-food-and mouth disease,2019,25,43
hand-food-and mouth disease,2019,26,53
hand-food-and mouth disease,2019,27,67
hand-food-and mouth disease,2019,28,64
hand-food-and mouth disease,2019,29,66
hand-food-and mouth disease,2019,30,63
hand-food-and mouth disease,2019,31,49
hand-food-and mouth disease,2019,32,37
hand-food-and mouth disease,2019,33,35
hand-food-and mouth disease,2019,34,28
hand-food-and mouth disease,2019,35,22
hand-food-and mouth disease,2019,36,18
hand-food-and mouth disease,2019,37,16
hand-food-and mouth disease,2019,38,12
hand-food-and mouth disease,2019,39,8
hand-food-and mouth disease,2019,40,8
hand-food-and mouth disease,2019,41,7
hand-food-and mouth disease,2019,42,5
hand-food-and mouth disease,2019,43,4
hand-food-and mouth disease,2019,44,3
hand-food-and mouth disease,2019,45,4
hand-food-and mouth disease,2019,46,3
hand-food-and mouth disease,2019,47,3
hand-food-and mouth disease,2019,48,3
hand-food-and mouth disease,2019,49,2
hand-food-and mouth disease,2019,50,2
hand-food-and mouth disease,2019,51,1
hand-food-and mouth disease,2019,52,1
hand-food-and mouth disease,2020,1,1
hand-food-and mouth disease,2020,2,1
hand-food-and mouth disease,2020,3,1
hand-food-and mouth disease,2020,4,1
hand-food-and mouth disease,2020,5,1
hand-food-and mouth disease,2020,6,1
hand-food-and mouth disease,2020,7,1
hand-food-and mouth disease,2020,8,1
hand-food-and mouth disease,2020,9,1
hand-food-and mouth disease,2020,10,1
hand-food-and mouth disease,2020,11,0
hand-food-and mouth disease,2020,12,1
hand-food-and mouth disease,2020,13,1
hand-food-and mouth disease,2020,14,1
hand-food-and mouth disease,2020,15,1
hand-food-and mouth disease,2020,16,1
hand-food-and mouth disease,2020,17,1
hand-food-and mouth disease,2020,18,1
hand-food-and mouth disease,2020,19,1
hand-food-and mouth disease,2020,20,1
hand-food-and mouth disease,2020,21,1
hand-food-and mouth disease,2020,22,1
hand-food-and mouth disease,2020,23,1
hand-food-and mouth disease,2020,24,2
hand-food-and mouth disease,2020,25,1
hand-food-and mouth disease,2020,26,1
hand-food-and mouth disease,2020,27,1
hand-food-and mouth disease,2020,28,1
hand-food-and mouth disease,2020,29,1
hand-food-and mouth disease,2020,30,1
hand-food-and mouth disease,2020,31,1
hand-food-and mouth disease,2020,32,2
hand-food-and mouth disease,2020,33,2
hand-food-and mouth disease,2020,34,1
hand-food-and mouth disease,2020,35,1
hand-food-and mouth disease,2020,36,1
hand-food-and mouth disease,2020,37,1
hand-food-and mouth disease,2020,38,2
hand-food-and mouth disease,2020,39,1
hand-food-and mouth disease,2020,40,1
hand-food-and mouth disease,2020,41,1
hand-food-and mouth disease,2020,42,0
hand-food-and mouth disease,2020,43,1
hand-food-and mouth disease,2020,44,1
hand-food-and mouth disease,2020,45,0
hand-food-and mouth disease,2020,46,0
hand-food-and mouth disease,2020,47,0
hand-food-and mouth disease,2020,48,1
hand-food-and mouth disease,2020,49,1
hand-food-and mouth disease,2020,50,1
hand-food-and mouth disease,2020,51,1
hand-food-and mouth disease,2020,52,1
hand-food-and mouth disease,2021,1,0
hand-food-and mouth disease,2021,2,1
hand-food-and mouth disease,2021,3,1
hand-food-and mouth disease,2021,4,0
hand-food-and mouth disease,2021,5,1
hand-food-and mouth disease,2021,6,1
hand-food-and mouth disease,2021,7,0
hand-food-and mouth disease,2021,8,0
hand-food-and mouth disease,2021,9,0
hand-food-and mouth disease,2021,10,1
hand-food-and mouth disease,2021,11,0
hand-food-and mouth disease,2021,12,0
hand-food-and mouth disease,2021,13,0
hand-food-and mouth disease,2021,14,0
hand-food-and mouth disease,2021,15,0
hand-food-and mouth disease,2021,16,0
hand-food-and mouth disease,2021,17,0
hand-food-and mouth disease,2021,18,0
hand-food-and mouth disease,2021,19,1
hand-food-and mouth disease,2021,20,0
hand-food-and mouth disease,2021,21,1
hand-food-and mouth disease,2021,22,1
hand-food-and mouth disease,2021,23,1
hand-food-and mouth disease,2021,24,1
hand-food-and mouth disease,2021,25,1
hand-food-and mouth disease,2021,26,1
hand-food-and mouth disease,2021,27,1
hand-food-and mouth disease,2021,28,1
hand-food-and mouth disease,2021,29,1
hand-food-and mouth disease,2021,30,1
hand-food-and mouth disease,2021,31,1
hand-food-and mouth disease,2021,32,1
hand-food-and mouth disease,2021,33,1
hand-food-and mouth disease,2021,34,1
hand-food-and mouth disease,2021,35,1
hand-food-and mouth disease,2021,36,1
hand-food-and mouth disease,2021,37,1
hand-food-and mouth disease,2021,38,1
hand-food-and mouth disease,2021,39,1
hand-food-and mouth disease,2021,40,1
hand-food-and mouth disease,2021,41,1
hand-food-and mouth disease,2021,42,1
hand-food-and mouth disease,2021,43,1
hand-food-and mouth disease,2021,44,1
hand-food-and mouth disease,2021,45,1
hand-food-and mouth disease,2021,46,0
hand-food-and mouth disease,2021,47,0
hand-food-and mouth disease,2021,48,1
hand-food-and mouth disease,2021,49,1
hand-food-and mouth disease,2021,50,1
hand-food-and mouth disease,2021,51,1
hand-food-and mouth disease,2021,52,0
hand-food-and mouth disease,2022,1,0
hand-food-and mouth disease,2022,2,0
hand-food-and mouth disease,2022,3,0
hand-food-and mouth disease,2022,4,0
hand-food-and mouth disease,2022,5,0
hand-food-and mouth disease,2022,6,0
hand-food-and mouth disease,2022,7,0
hand-food-and mouth disease,2022,8,0
hand-food-and mouth disease,2022,9,0
hand-food-and mouth disease,2022,10,0
hand-food-and mouth disease,2022,11,0
hand-food-and mouth disease,2022,12,0
hand-food-and mouth disease,2022,13,0
hand-food-and mouth disease,2022,14,0
hand-food-and mouth disease,2022,15,0
hand-food-and mouth disease,2022,16,0
hand-food-and mouth disease,2022,17,0
hand-food-and mouth disease,2022,18,0
hand-food-and mouth disease,2022,19,1
hand-food-and mouth disease,2022,20,1
hand-food-and mouth disease,2022,21,1
hand-food-and mouth disease,2022,22,1
hand-food-and mouth disease,2022,23,1
hand-food-and mouth disease,2022,24,1
hand-food-and mouth disease,2022,25,2
hand-food-and mouth disease,2022,26,3
hand-food-and mouth disease,2022,27,5
hand-food-and mouth disease,2022,28,10
hand-food-and mouth disease,2022,29,14
hand-food-and mouth disease,2022,30,17
hand-food-and mouth disease,2022,31,20
hand-food-and mouth disease,2022,32,25
hand-food-and mouth disease,2022,33,26
hand-food-and mouth disease,2022,34,36
hand-food-and mouth disease,2022,35,32
hand-food-and mouth disease,2022,36,38
hand-food-and mouth disease,2022,37,36
hand-food-and mouth disease,2022,38,29
hand-food-and mouth disease,2022,39,21
hand-food-and mouth disease,2022,40,19
hand-food-and mouth disease,2022,41,13
hand-food-and mouth disease,2022,42,8
hand-food-and mouth disease,2022,43,6
hand-food-and mouth disease,2022,44,4
hand-food-and mouth disease,2022,45,4
hand-food-and mouth disease,2022,46,3
hand-food-and mouth disease,2022,47,3
hand-food-and mouth disease,2022,48,3
hand-food-and mouth disease,2022,49,2
hand-food-and mouth disease,2022,50,2
hand-food-and mouth disease,2022,51,1
hand-food-and mouth disease,2022,52,1
hand-food-and mouth disease,2022,53,1
hand-food-and mouth disease,2023,1,1
hand-food-and mouth disease,2023,2,1
hand-food-and mouth disease,2023,3,2
hand-food-and mouth disease,2023,4,1
hand-food-and mouth disease,2023,5,1
hand-food-and mouth disease,2023,6,1
hand-food-and mouth disease,2023,7,1
hand-food-and mouth disease,2023,8,1
hand-food-and mouth disease,2023,9,1
hand-food-and mouth disease,2023,10,1
hand-food-and mouth disease,2023,11,1
hand-food-and mouth disease,2023,12,1
hand-food-and mouth disease,2023,13,1
hand-food-and mouth disease,2023,14,2
hand-food-and mouth disease,2023,15,3
hand-food-and mouth disease,2023,16,4
hand-food-and mouth disease,2023,17,6
hand-food-and mouth disease,2023,18,8
hand-food-and mouth disease,2023,19,10
hand-food-and mouth disease,2023,20,16
hand-food-and mouth disease,2023,21,16
hand-food-and mouth disease,2023,22,19
hand-food-and mouth disease,2023,23,16
hand-food-and mouth disease,2023,24,17
hand-food-and mouth disease,2023,25,15
hand-food-and mouth disease,2023,26,14
hand-food-and mouth disease,2023,27,17
hand-food-and mouth disease,2023,28,17
hand-food-and mouth disease,2023,29,21
hand-food-and mouth disease,2023,30,20
hand-food-and mouth disease,2023,31,16
hand-food-and mouth disease,2023,32,17
hand-food-and mouth disease,2023,33,18
hand-food-and mouth disease,2023,34,15
hand-food-and mouth disease,2023,35,14
hand-food-and mouth disease,2023,36,13
hand-food-and mouth disease,2023,37,13
hand-food-and mouth disease,2023,38,13
hand-food-and mouth disease,2023,39,12
hand-food-and mouth disease,2023,40,9
hand-food-and mouth disease,2023,41,6
hand-food-and mouth disease,2023,42,4
hand-food-and mouth disease,2023,43,3
hand-food-and mouth disease,2023,44,3
hand-food-and mouth disease,2023,45,3
hand-food-and mouth disease,2023,46,2
hand-food-and mouth disease,2023,47,1
hand-food-and mouth disease,2023,48,1
hand-food-and mouth disease,2023,49,1
hand-food-and mouth disease,2023,50,1
hand-food-and mouth disease,2023,51,1
hand-food-and mouth disease,2023,52,1
hand-food-and mouth disease,2024,1,1
hand-food-and mouth disease,2024,2,1
hand-food-and mouth disease,2024,3,1
hand-food-and mouth disease,2024,4,1
hand-food-and mouth disease,2024,5,1
hand-food-and mouth disease,2024,6,1
hand-food-and mouth disease,2024,7,1
hand-food-and mouth disease,2024,8,1
hand-food-and mouth disease,2024,9,1
hand-food-and mouth disease,2024,10,1
hand-food-and mouth disease,2024,11,1
hand-food-and mouth disease,2024,12,1
hand-food-and mouth disease,2024,13,2
hand-food-and mouth disease,2024,14,2
hand-food-and mouth disease,2024,15,3
hand-food-and mouth disease,2024,16,3
hand-food-and mouth disease,2024,17,6
hand-food-and mouth disease,2024,18,5
hand-food-and mouth disease,2024,19,6
hand-food-and mouth disease,2024,20,9
hand-food-and mouth disease,2024,21,15
hand-food-and mouth disease,2024,22,24
hand-food-and mouth disease,2024,23,30
hand-food-and mouth disease,2024,24,34
hand-food-and mouth disease,2024,25,43
hand-food-and mouth disease,2024,26,42
hand-food-and mouth disease,2024,27,45
hand-food-and mouth disease,2024,28,49
hand-food-and mouth disease,2024,29,57
hand-food-and mouth disease,2024,30,54
hand-food-and mouth disease,2024,31,47
