disease,year,week,cases
Adenovirus,2022,8,15
Adenovirus,2022,9,10
Adenovirus,2022,10,16
Adenovirus,2022,11,8
Adenovirus,2022,12,10
Adenovirus,2022,13,13
Adenovirus,2022,14,6
Adenovirus,2022,15,14
Adenovirus,2022,16,12
Adenovirus,2022,17,19
Adenovirus,2022,18,20
Adenovirus,2022,19,23
Adenovirus,2022,20,32
Adenovirus,2022,21,29
Adenovirus,2022,22,51
Adenovirus,2022,23,39
Adenovirus,2022,24,42
Adenovirus,2022,25,52
Adenovirus,2022,26,48
Adenovirus,2022,27,51
Adenovirus,2022,28,44
Adenovirus,2022,29,50
Adenovirus,2022,30,64
Adenovirus,2022,31,48
Adenovirus,2022,32,62
Adenovirus,2022,33,45
Adenovirus,2022,34,45
Adenovirus,2022,35,37
Adenovirus,2022,36,47
Adenovirus,2022,37,33
Adenovirus,2022,38,38
Adenovirus,2022,39,24
Adenovirus,2022,40,27
Adenovirus,2022,41,18
Adenovirus,2022,42,29
Adenovirus,2022,43,25
Adenovirus,2022,44,17
Adenovirus,2022,45,26
Adenovirus,2022,46,27
Adenovirus,2022,47,41
Adenovirus,2022,48,28
Adenovirus,2022,49,38
Adenovirus,2022,50,41
Adenovirus,2022,51,40
Adenovirus,2022,52,30
Adenovirus,2022,53,51
Adenovirus,2023,1,33
Adenovirus,2023,2,36
Adenovirus,2023,3,49
Adenovirus,2023,4,34
Adenovirus,2023,5,53
Adenovirus,2023,6,37
Adenovirus,2023,7,38
Adenovirus,2023,8,56
Adenovirus,2023,9,63
Adenovirus,2023,10,82
Adenovirus,2023,11,68
Adenovirus,2023,12,95
Adenovirus,2023,13,131
Adenovirus,2023,14,182
Adenovirus,2023,15,183
Adenovirus,2023,16,202
Adenovirus,2023,17,225
Adenovirus,2023,18,207
Adenovirus,2023,19,192
Adenovirus,2023,20,189
Adenovirus,2023,21,201
Adenovirus,2023,22,167
Adenovirus,2023,23,197
Adenovirus,2023,24,199
Adenovirus,2023,25,158
Adenovirus,2023,26,216
Adenovirus,2023,27,249
Adenovirus,2023,28,302
Adenovirus,2023,29,393
Adenovirus,2023,30,515
Adenovirus,2023,31,620
Adenovirus,2023,32,685
Adenovirus,2023,33,774
Adenovirus,2023,34,857
Adenovirus,2023,35,950
Adenovirus,2023,36,869
Adenovirus,2023,37,727
Adenovirus,2023,38,548
Adenovirus,2023,39,357
Adenovirus,2023,40,384
Adenovirus,2023,41,205
Adenovirus,2023,42,192
Adenovirus,2023,43,139
Adenovirus,2023,44,149
Adenovirus,2023,45,118
Adenovirus,2023,46,131
Adenovirus,2023,47,100
Adenovirus,2023,48,120
Adenovirus,2023,49,122
Adenovirus,2023,50,92
Adenovirus,2023,51,104
Adenovirus,2023,52,112
Adenovirus,2024,1,101
Adenovirus,2024,2,78
Adenovirus,2024,3,72
Adenovirus,2024,4,59
Adenovirus,2024,5,54
Adenovirus,2024,6,58
Adenovirus,2024,7,53
Adenovirus,2024,8,38
Adenovirus,2024,9,35
Adenovirus,2024,10,37
Adenovirus,2024,11,41
Adenovirus,2024,12,35
Adenovirus,2024,13,57
Adenovirus,2024,14,74
Adenovirus,2024,15,69
Adenovirus,2024,16,94
Adenovirus,2024,17,75
Adenovirus,2024,18,91
Adenovirus,2024,19,81
Adenovirus,2024,20,86
Adenovirus,2024,21,77
Adenovirus,2024,22,66
Adenovirus,2024,23,93
Adenovirus,2024,24,76
Adenovirus,2024,25,51
Adenovirus,2024,26,70
Adenovirus,2024,27,69
Adenovirus,2024,28,78
Adenovirus,2024,29,57
Adenovirus,2024,30,48
Adenovirus,2024,31,58
