disease,city,year,week,cases
SFTS,Busan,2018,24,0
SFTS,Busan,2018,25,1
SFTS,Busan,2018,26,1
SFTS,Busan,2018,27,0
SFTS,Busan,2018,28,0
SFTS,Busan,2018,29,0
SFTS,Busan,2018,30,0
SFTS,Busan,2018,31,0
SFTS,Busan,2018,32,0
SFTS,Busan,2018,33,0
SFTS,Busan,2018,34,0
SFTS,Busan,2018,35,0
SFTS,Busan,2018,36,0
SFTS,Busan,2018,37,0
SFTS,Busan,2018,38,0
SFTS,Busan,2018,39,0
SFTS,Busan,2018,40,1
SFTS,Busan,2018,41,0
SFTS,Busan,2018,42,0
SFTS,Busan,2018,43,0
SFTS,Busan,2018,44,0
SFTS,Busan,2018,45,0
SFTS,Busan,2018,46,0
SFTS,Busan,2018,47,0
SFTS,Busan,2018,48,0
SFTS,Busan,2018,49,0
SFTS,Busan,2018,50,0
SFTS,Busan,2018,51,0
SFTS,Busan,2018,52,0
SFTS,Busan,2019,1,0
SFTS,Busan,2019,2,0
SFTS,Busan,2019,3,0
SFTS,Busan,2019,4,0
SFTS,Busan,2019,5,0
SFTS,Busan,2019,6,0
SFTS,Busan,2019,7,0
SFTS,Busan,2019,8,0
SFTS,Busan,2019,9,0
SFTS,Busan,2019,10,0
SFTS,Busan,2019,11,0
SFTS,Busan,2019,12,0
SFTS,Busan,2019,13,0
SFTS,Busan,2019,14,0
SFTS,Busan,2019,15,0
SFTS,Busan,2019,16,0
SFTS,Busan,2019,17,0
SFTS,Busan,2019,18,0
SFTS,Busan,2019,19,0
SFTS,Busan,2019,20,0
SFTS,Busan,2019,21,0
SFTS,Busan,2019,22,0
SFTS,Busan,2019,23,0
SFTS,Busan,2019,24,0
SFTS,Busan,2019,25,0
SFTS,Busan,2019,26,1
SFTS,Busan,2019,27,0
SFTS,Busan,2019,28,0
SFTS,Busan,2019,29,0
SFTS,Busan,2019,30,0
SFTS,Busan,2019,31,0
SFTS,Busan,2019,32,0
SFTS,Busan,2019,33,0
SFTS,Busan,2019,34,0
SFTS,Busan,2019,35,0
SFTS,Busan,2019,36,0
SFTS,Busan,2019,37,0
SFTS,Busan,2019,38,0
SFTS,Busan,2019,39,0
SFTS,Busan,2019,40,0
SFTS,Busan,2019,41,0
SFTS,Busan,2019,42,0
SFTS,Busan,2019,43,0
SFTS,Busan,2019,44,0
SFTS,Busan,2019,45,0
SFTS,Busan,2019,46,0
SFTS,Busan,2019,47,0
SFTS,Busan,2019,48,0
SFTS,Busan,2019,49,0
SFTS,Busan,2019,50,0
SFTS,Busan,2019,51,0
SFTS,Busan,2019,52,0
SFTS,Busan,2020,1,0
SFTS,Busan,2020,2,0
SFTS,Busan,2020,3,0
SFTS,Busan,2020,4,0
SFTS,Busan,2020,5,0
SFTS,Busan,2020,6,0
SFTS,Busan,2020,7,0
SFTS,Busan,2020,8,0
SFTS,Busan,2020,9,0
SFTS,Busan,2020,10,0
SFTS,Busan,2020,11,0
SFTS,Busan,2020,12,0
SFTS,Busan,2020,13,0
SFTS,Busan,2020,14,0
SFTS,Busan,2020,15,0
SFTS,Busan,2020,16,0
SFTS,Busan,2020,17,0
SFTS,Busan,2020,18,0
