disease,city,year,week,cases
SFTS,All,2021,3,0
SFTS,All,2021,4,0
SFTS,All,2021,5,0
SFTS,All,2021,6,0
SFTS,All,2021,7,0
SFTS,All,2021,8,0
SFTS,All,2021,9,0
SFTS,All,2021,10,0
SFTS,All,2021,11,0
SFTS,All,2021,12,0
SFTS,All,2021,13,0
SFTS,All,2021,14,2
SFTS,All,2021,15,0
SFTS,All,2021,16,0
SFTS,All,2021,17,2
SFTS,All,2021,18,4
SFTS,All,2021,19,0
SFTS,All,2021,20,3
SFTS,All,2021,21,1
SFTS,All,2021,22,4
SFTS,All,2021,23,7
SFTS,All,2021,24,4
SFTS,All,2021,25,4
SFTS,All,2021,26,6
SFTS,All,2021,27,14
SFTS,All,2021,28,8
SFTS,All,2021,29,5
SFTS,All,2021,30,4
SFTS,All,2021,31,2
SFTS,All,2021,32,3
SFTS,All,2021,33,9
SFTS,All,2021,34,4
SFTS,All,2021,35,5
SFTS,All,2021,36,5
SFTS,All,2021,37,9
SFTS,All,2021,38,5
SFTS,All,2021,39,3
SFTS,All,2021,40,11
SFTS,All,2021,41,17
SFTS,All,2021,42,13
SFTS,All,2021,43,10
SFTS,All,2021,44,5
SFTS,All,2021,45,2
SFTS,All,2021,46,1
SFTS,All,2021,47,0
SFTS,All,2021,48,0
SFTS,All,2021,49,0
SFTS,All,2021,50,0
SFTS,All,2021,51,0
SFTS,All,2021,52,0
SFTS,All,2022,1,0
SFTS,All,2022,2,0
SFTS,All,2022,3,0
SFTS,All,2022,4,0
SFTS,All,2022,5,0
SFTS,All,2022,6,0
SFTS,All,2022,7,0
SFTS,All,2022,8,0
SFTS,All,2022,9,0
SFTS,All,2022,10,0
SFTS,All,2022,11,0
SFTS,All,2022,12,0
SFTS,All,2022,13,0
SFTS,All,2022,14,0
SFTS,All,2022,15,1
SFTS,All,2022,16,0
SFTS,All,2022,17,0
SFTS,All,2022,18,2
SFTS,All,2022,19,0
SFTS,All,2022,20,6
SFTS,All,2022,21,3
SFTS,All,2022,22,4
SFTS,All,2022,23,4
SFTS,All,2022,24,4
SFTS,All,2022,25,3
SFTS,All,2022,26,14
SFTS,All,2022,27,7
SFTS,All,2022,28,8
SFTS,All,2022,29,7
SFTS,All,2022,30,4
SFTS,All,2022,31,11
SFTS,All,2022,32,9
SFTS,All,2022,33,13
SFTS,All,2022,34,2
SFTS,All,2022,35,6
SFTS,All,2022,36,7
SFTS,All,2022,37,7
SFTS,All,2022,38,6
SFTS,All,2022,39,10
SFTS,All,2022,40,9
SFTS,All,2022,41,15
SFTS,All,2022,42,14
SFTS,All,2022,43,12
SFTS,All,2022,44,4
SFTS,All,2022,45,0
SFTS,All,2022,46,0
SFTS,All,2022,47,1
SFTS,All,2022,48,0
SFTS,All,2022,49,0
SFTS,All,2022,50,0
SFTS,All,2022,51,0
SFTS,All,2022,52,0
SFTS,All,2022,53,0
SFTS,All,2023,1,0
SFTS,All,2023,2,0
SFTS,All,2023,3,0
SFTS,All,2023,4,0
SFTS,All,2023,5,0
SFTS,All,2023,6,0
SFTS,All,2023,7,0
SFTS,All,2023,8,0
SFTS,All,2023,9,0
SFTS,All,2023,10,0
SFTS,All,2023,11,0
SFTS,All,2023,12,0
SFTS,All,2023,13,0
SFTS,All,2023,14,1
SFTS,All,2023,15,0
SFTS,All,2023,16,0
SFTS,All,2023,17,2
SFTS,All,2023,18,1
SFTS,All,2023,19,2
SFTS,All,2023,20,1
SFTS,All,2023,21,4
SFTS,All,2023,22,6
SFTS,All,2023,23,5
SFTS,All,2023,24,7
SFTS,All,2023,25,9
SFTS,All,2023,26,8
SFTS,All,2023,27,4
SFTS,All,2023,28,13
SFTS,All,2023,29,6
SFTS,All,2023,30,7
SFTS,All,2023,31,8
SFTS,All,2023,32,4
SFTS,All,2023,33,9
SFTS,All,2023,34,8
SFTS,All,2023,35,5
SFTS,All,2023,36,5
SFTS,All,2023,37,4
SFTS,All,2023,38,10
SFTS,All,2023,39,5
SFTS,All,2023,40,17
SFTS,All,2023,41,18
SFTS,All,2023,42,20
SFTS,All,2023,43,6
SFTS,All,2023,44,1
SFTS,All,2023,45,1
SFTS,All,2023,46,1
SFTS,All,2023,47,0
SFTS,All,2023,48,0
SFTS,All,2023,49,0
Sfts,All,2023,50,0
Sfts,All,2023,51,0
Sfts,All,2023,52,0
Sfts,All,2024,1,0
Sfts,All,2024,2,0
Sfts,All,2024,3,0
Sfts,All,2024,4,0
Sfts,All,2024,5,0
Sfts,All,2024,6,0
Sfts,All,2024,7,0
Sfts,All,2024,8,0
Sfts,All,2024,9,0
Sfts,All,2024,10,0
Sfts,All,2024,11,0
Sfts,All,2024,12,0
Sfts,All,2024,13,0
Sfts,All,2024,14,0
Sfts,All,2024,15,0
Sfts,All,2024,16,1
Sfts,All,2024,17,2
Sfts,All,2024,18,1
Sfts,All,2024,19,6
Sfts,All,2024,20,4
Sfts,All,2024,21,3
Sfts,All,2024,22,5
Sfts,All,2024,23,3
Sfts,All,2024,24,2
Sfts,All,2024,25,10
Sfts,All,2024,26,5
Sfts,All,2024,27,6
Sfts,All,2024,28,10
Sfts,All,2024,29,2
Sfts,All,2024,30,6
Sfts,All,2024,31,2
Sfts,All,2024,32,1
Sfts,All,2024,33,0
